column,start,length,description
hrhhid,0,15,hrhhid
hrmonth,15,2,hrmonth
hryear4,17,4,hryear4
hurespli,21,2,hurespli
hufinal,23,3,hufinal
huspnish,26,2,huspnish
hetenure,28,2,hetenure
hehousut,30,2,hehousut
hetelhhd,32,2,hetelhhd
hetelavl,34,2,hetelavl
hephoneo,36,2,hephoneo
hefaminc,38,2,hefaminc
hutypea,40,2,hutypea
hutypb,42,2,hutypb
hutypc,44,2,hutypc
hwhhwgt,46,10,hwhhwgt
hrintsta,56,2,hrintsta
hrnumhou,58,2,hrnumhou
hrhtype,60,2,hrhtype
hrmis,62,2,hrmis
huinttyp,64,2,huinttyp
huprscnt,66,2,huprscnt
hrlonglk,68,2,hrlonglk
hrhhid2,70,5,hrhhid2
hubus,78,2,hubus
hubusl1,80,2,hubusl1
hubusl2,82,2,hubusl2
hubusl3,84,2,hubusl3
hubusl4,86,2,hubusl4
gereg,88,2,gereg
gestcen,90,2,gestcen
gestfips,92,2,gestfips
gtcbsa,95,5,gtcbsa
gtco,100,3,gtco
gtcbsast,103,1,gtcbsast
gtmetsta,104,1,gtmetsta
gtindvpc,105,1,gtindvpc
gtcbsasz,106,1,gtcbsasz
gtcsa,107,3,gtcsa
proldrrp,113,2,proldrrp
pupelig,115,2,pupelig
perrp,117,2,perrp
peparent,119,2,peparent
prtage,121,2,prtage
prtfage,123,1,prtfage
pemaritl,124,2,pemaritl
pespouse,126,2,pespouse
pesex,128,2,pesex
peafever,130,2,peafever
peafnow,134,2,peafnow
peeduca,136,2,peeduca
ptdtrace,138,2,ptdtrace
prdthsp,140,2,prdthsp
puchinhh,142,2,puchinhh
pulineno,146,2,pulineno
prfamnum,150,2,prfamnum
prfamrel,152,2,prfamrel
prfamtyp,154,2,prfamtyp
pehspnon,156,2,pehspnon
prmarsta,158,2,prmarsta
prpertyp,160,2,prpertyp
penatvty,162,3,penatvty
pemntvty,165,3,pemntvty
pefntvty,168,3,pefntvty
prcitshp,171,2,prcitshp
prcitflg,173,2,prcitflg
prinusyr,175,2,prinusyr
puslfprx,177,2,puslfprx
pemlr,179,2,pemlr
puwk,181,2,puwk
pubus1,183,2,pubus1
pubus2ot,185,2,pubus2ot
pubusck1,187,2,pubusck1
pubusck2,189,2,pubusck2
pubusck3,191,2,pubusck3
pubusck4,193,2,pubusck4
puretot,195,2,puretot
pudis,197,2,pudis
peret1,199,2,peret1
pudis1,201,2,pudis1
pudis2,203,2,pudis2
puabsot,205,2,puabsot
pulay,207,2,pulay
peabsrsn,209,2,peabsrsn
peabspdo,211,2,peabspdo
pemjot,213,2,pemjot
pemjnum,215,2,pemjnum
pehrusl1,217,2,pehrusl1
pehrusl2,219,2,pehrusl2
pehrftpt,221,2,pehrftpt
pehruslt,223,3,pehruslt
pehrwant,226,2,pehrwant
pehrrsn1,228,2,pehrrsn1
pehrrsn2,230,2,pehrrsn2
pehrrsn3,232,2,pehrrsn3
puhroff1,234,2,puhroff1
puhroff2,236,2,puhroff2
puhrot1,238,2,puhrot1
puhrot2,240,2,puhrot2
pehract1,242,2,pehract1
pehract2,244,2,pehract2
pehractt,246,3,pehractt
pehravl,249,2,pehravl
puhrck1,256,2,puhrck1
puhrck2,258,2,puhrck2
puhrck3,260,2,puhrck3
puhrck4,262,2,puhrck4
puhrck5,264,2,puhrck5
puhrck6,266,2,puhrck6
puhrck7,268,2,puhrck7
puhrck12,270,2,puhrck12
pulaydt,272,2,pulaydt
pulay6m,274,2,pulay6m
pelayavl,276,2,pelayavl
pulayavr,278,2,pulayavr
pelaylk,280,2,pelaylk
pelaydur,282,3,pelaydur
pelayfto,285,2,pelayfto
pulayck1,287,2,pulayck1
pulayck2,289,2,pulayck2
pulayck3,291,2,pulayck3
pulk,293,2,pulk
pelkm1,295,2,pelkm1
pulkm2,297,2,pulkm2
pulkm3,299,2,pulkm3
pulkm4,301,2,pulkm4
pulkm5,303,2,pulkm5
pulkm6,305,2,pulkm6
pulkdk1,307,2,pulkdk1
pulkdk2,309,2,pulkdk2
pulkdk3,311,2,pulkdk3
pulkdk4,313,2,pulkdk4
pulkdk5,315,2,pulkdk5
pulkdk6,317,2,pulkdk6
pulkps1,319,2,pulkps1
pulkps2,321,2,pulkps2
pulkps3,323,2,pulkps3
pulkps4,325,2,pulkps4
pulkps5,327,2,pulkps5
pulkps6,329,2,pulkps6
pelkavl,331,2,pelkavl
pulkavr,333,2,pulkavr
pelkll1o,335,2,pelkll1o
pelkll2o,337,2,pelkll2o
pelklwo,339,2,pelklwo
pelkdur,341,3,pelkdur
pelkfto,344,2,pelkfto
pedwwnto,346,2,pedwwnto
pedwrsn,348,2,pedwrsn
pedwlko,350,2,pedwlko
pedwwk,352,2,pedwwk
pedw4wk,354,2,pedw4wk
pedwlkwk,356,2,pedwlkwk
pedwavl,358,2,pedwavl
pedwavr,360,2,pedwavr
pudwck1,362,2,pudwck1
pudwck2,364,2,pudwck2
pudwck3,366,2,pudwck3
pudwck4,368,2,pudwck4
pudwck5,370,2,pudwck5
pejhwko,372,2,pejhwko
pujhdp1o,374,2,pujhdp1o
pejhrsn,376,2,pejhrsn
pejhwant,378,2,pejhwant
pujhck1,380,2,pujhck1
pujhck2,382,2,pujhck2
prabsrea,384,2,prabsrea
prcivlf,386,2,prcivlf
prdisc,388,2,prdisc
premphrs,390,2,premphrs
prempnot,392,2,prempnot
prexplf,394,2,prexplf
prftlf,396,2,prftlf
prhrusl,398,2,prhrusl
prjobsea,400,2,prjobsea
prpthrs,402,2,prpthrs
prptrea,404,2,prptrea
prunedur,406,3,prunedur
pruntype,411,2,pruntype
prwksch,413,2,prwksch
prwkstat,415,2,prwkstat
prwntjob,417,2,prwntjob
pujhck3,419,2,pujhck3
pujhck4,421,2,pujhck4
pujhck5,423,2,pujhck5
puiodp1,425,2,puiodp1
puiodp2,427,2,puiodp2
puiodp3,429,2,puiodp3
peio1cow,431,2,peio1cow
puio1mfg,433,2,puio1mfg
peio2cow,441,2,peio2cow
puio2mfg,443,2,puio2mfg
puiock1,451,2,puiock1
puiock2,453,2,puiock2
puiock3,455,2,puiock3
prioelg,457,2,prioelg
pragna,459,2,pragna
prcow1,461,2,prcow1
prcow2,463,2,prcow2
prcowpg,465,2,prcowpg
prdtcow1,467,2,prdtcow1
prdtcow2,469,2,prdtcow2
prdtind1,471,2,prdtind1
prdtind2,473,2,prdtind2
prdtocc1,475,2,prdtocc1
prdtocc2,477,2,prdtocc2
premp,479,2,premp
prmjind1,481,2,prmjind1
prmjind2,483,2,prmjind2
prmjocc1,485,2,prmjocc1
prmjocc2,487,2,prmjocc2
prmjocgr,489,2,prmjocgr
prnagpws,491,2,prnagpws
prnagws,493,2,prnagws
prsjmj,495,2,prsjmj
prerelg,497,2,prerelg
peernuot,499,2,peernuot
peernper,501,2,peernper
peernrt,503,2,peernrt
peernhry,505,2,peernhry
puernh1c,507,4,puernh1c
peernh2,511,4,peernh2
peernh1o,515,4,peernh1o
prernhly,519,4,prernhly
pthr,523,1,pthr
peernhro,524,2,peernhro
prernwa,526,8,prernwa
ptwk,534,1,ptwk
peern,539,8,peern
puern2,547,8,puern2
ptot,555,1,ptot
peernwkp,558,2,peernwkp
peernlab,560,2,peernlab
peerncov,562,2,peerncov
penlfjh,564,2,penlfjh
penlfret,566,2,penlfret
penlfact,568,2,penlfact
punlfck1,570,2,punlfck1
punlfck2,572,2,punlfck2
peschenr,574,2,peschenr
peschft,576,2,peschft
peschlvl,578,2,peschlvl
prnlfsch,580,2,prnlfsch
pwfmwgt,582,10,pwfmwgt
pwlgwgt,592,10,pwlgwgt
pworwgt,602,10,pworwgt
pwsswgt,612,10,pwsswgt
pwvetwgt,622,10,pwvetwgt
prchld,632,2,prchld
prnmchld,634,2,prnmchld
prwernal,638,2,prwernal
prhernal,640,2,prhernal
hxtenure,642,2,hxtenure
hxhousut,644,2,hxhousut
hxtelhhd,646,2,hxtelhhd
hxtelavl,648,2,hxtelavl
hxphoneo,650,2,hxphoneo
pxinusyr,652,2,pxinusyr
pxrrp,654,2,pxrrp
pxparent,656,2,pxparent
pxage,658,2,pxage
pxmaritl,660,2,pxmaritl
pxspouse,662,2,pxspouse
pxsex,664,2,pxsex
pxafwhn1,666,2,pxafwhn1
pxafnow,668,2,pxafnow
pxeduca,670,2,pxeduca
pxrace1,672,2,pxrace1
pxnatvty,674,2,pxnatvty
pxmntvty,676,2,pxmntvty
pxfntvty,678,2,pxfntvty
pxhspnon,682,2,pxhspnon
pxmlr,684,2,pxmlr
pxret1,686,2,pxret1
pxabsrsn,688,2,pxabsrsn
pxabspdo,690,2,pxabspdo
pxmjot,692,2,pxmjot
pxmjnum,694,2,pxmjnum
pxhrusl1,696,2,pxhrusl1
pxhrusl2,698,2,pxhrusl2
pxhrftpt,700,2,pxhrftpt
pxhruslt,702,2,pxhruslt
pxhrwant,704,2,pxhrwant
pxhrrsn1,706,2,pxhrrsn1
pxhrrsn2,708,2,pxhrrsn2
pxhract1,710,2,pxhract1
pxhract2,712,2,pxhract2
pxhractt,714,2,pxhractt
pxhrrsn3,716,2,pxhrrsn3
pxhravl,718,2,pxhravl
pxlayavl,720,2,pxlayavl
pxlaylk,722,2,pxlaylk
pxlaydur,724,2,pxlaydur
pxlayfto,726,2,pxlayfto
pxlkm1,728,2,pxlkm1
pxlkavl,730,2,pxlkavl
pxlkll1o,732,2,pxlkll1o
pxlkll2o,734,2,pxlkll2o
pxlklwo,736,2,pxlklwo
pxlkdur,738,2,pxlkdur
pxlkfto,740,2,pxlkfto
pxdwwnto,742,2,pxdwwnto
pxdwrsn,744,2,pxdwrsn
pxdwlko,746,2,pxdwlko
pxdwwk,748,2,pxdwwk
pxdw4wk,750,2,pxdw4wk
pxdwlkwk,752,2,pxdwlkwk
pxdwavl,754,2,pxdwavl
pxdwavr,756,2,pxdwavr
pxjhwko,758,2,pxjhwko
pxjhrsn,760,2,pxjhrsn
pxjhwant,762,2,pxjhwant
pxio1cow,764,2,pxio1cow
pxio1icd,766,2,pxio1icd
pxio1ocd,768,2,pxio1ocd
pxio2cow,770,2,pxio2cow
pxio2icd,772,2,pxio2icd
pxio2ocd,774,2,pxio2ocd
pxernuot,776,2,pxernuot
pxernper,778,2,pxernper
pxernh1o,780,2,pxernh1o
pxernhro,782,2,pxernhro
pxern,784,2,pxern
pxernwkp,790,2,pxernwkp
pxernrt,792,2,pxernrt
pxernhry,794,2,pxernhry
pxernh2,796,2,pxernh2
pxernlab,798,2,pxernlab
pxerncov,800,2,pxerncov
pxnlfjh,802,2,pxnlfjh
pxnlfret,804,2,pxnlfret
pxnlfact,806,2,pxnlfact
pxschenr,808,2,pxschenr
pxschft,810,2,pxschft
pxschlvl,812,2,pxschlvl
qstnum,814,5,qstnum
occurnum,819,2,occurnum
pedipged,821,2,pedipged
pehgcomp,823,2,pehgcomp
pecyc,825,2,pecyc
pegrprof,827,2,pegrprof
pegr6cor,829,2,pegr6cor
pems123,831,2,pems123
pxdipged,833,2,pxdipged
pxhgcomp,835,2,pxhgcomp
pxcyc,837,2,pxcyc
pxgrprof,839,2,pxgrprof
pxgr6cor,841,2,pxgr6cor
pxms123,843,2,pxms123
pwcmpwgt,845,10,pwcmpwgt
peio1icd,855,4,peio1icd
peio1ocd,859,4,peio1ocd
peio2icd,863,4,peio2icd
peio2ocd,867,4,peio2ocd
primind1,871,2,primind1
primind2,873,2,primind2
peafwhn1,875,2,peafwhn1
peafwhn2,877,2,peafwhn2
peafwhn3,879,2,peafwhn3
peafwhn4,881,2,peafwhn4
pxafever,883,2,pxafever
pelndad,885,2,pelndad
pelnmom,887,2,pelnmom
pedadtyp,889,2,pedadtyp
pemomtyp,891,2,pemomtyp
pecohab,893,2,pecohab
pxlndad,895,2,pxlndad
pxlnmom,897,2,pxlnmom
pxdadtyp,899,2,pxdadtyp
pxmomtyp,901,2,pxmomtyp
pxcohab,903,2,pxcohab
pedisear,905,2,pedisear
pediseye,907,2,pediseye
pedisrem,909,2,pedisrem
pedisphy,911,2,pedisphy
pedisdrs,913,2,pedisdrs
pedisout,915,2,pedisout
prdisflg,917,2,prdisflg
pxdisear,919,2,pxdisear
pxdiseye,921,2,pxdiseye
pxdisrem,923,2,pxdisrem
pxdisphy,925,2,pxdisphy
pxdisdrs,927,2,pxdisdrs
pxdisout,929,2,pxdisout
hxfaminc,931,2,hxfaminc
pes1,950,2,pes1
pes2,952,2,pes2
pes3,954,2,pes3
pes4,956,2,pes4
pes5,958,2,pes5
pes6,960,2,pes6
pes7,962,2,pes7
pes8,964,2,pes8
pusck4,966,2,pusck4
